ProgID,OrgName,ProgName,HEPgoal,IndicGrp,Indicator,ProgObjectv,QAPP,SpatExtnt,TempExtnt,Freq,Reference,Contact
GSWA,Great Swamp Watershed Association,Great Swamp Watershed Water Quality Testing,"Water Quality, Habitat and Ecological Health","Dissolved Oxygen, Pathogens, Nutrients, In Situ Parameters, Marine","Nitrogen, Phosphorous, Dissolved Oxygen, pH, Total Dissolved Solids, Sodium, Benthic Index of Biotic Integrity, E. coli, Fecal Coliform; Stream Depth, Width, Nearby Land Uses, Presence of Stream Bank Erosion, Presence of Pollutants or Hazards","Monitor the water quality of our watershed streams by conducting chemical, macroinvertebrate, visual, and ÿbacteria assessments. ",coliform and E. coli bacteria testing program uses state recommended IDEX system,"16 locations (for chemical assessment, fewer for macroinvertebrates and bacteria?) in the five main streams of Great Swamp Watershed and Passaic River",1999-present (bacteria since 2015),"""regular intervals each year"", macroinvertebrates yearly (once each summer), bacteria weekly for five weeks mid July - early August",http://www.imrivers.org/gswa_swamp/,"Sandra LaVigne, sandral@greatswamp.org, (973) 538-3500"
HRNERRmars,HRNERR,Marsh Vegetation Transect Data ,Habitat and Ecological Health,Wetlands,"Marsh Vegetation, Marsh Accretion",Monitor changes in marsh vegetation composition in relation to marsh elevation changes.,,"Tivoli North Bay, Tivoli South Bay, Piermont Marsh",2012-present,Study sites are monitored on a 5-year rotating schedule,http://cdmo.baruch.sc.edu/get/vegetation_index.cfm,"Sarah Fernald, NYSDEC               845-889-4745 x111
sarah.fernald@dec.ny.gov"
HRNERRwq,HRNERR,Water Quality Monitoring,Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Dissolved Oxygen, Fecal Coliform, Water Temperature, pH, Salinity, Chlorophyll-a, Turbidity",,,"Bear Mountain, Ferry Landing, Tivoli North Bay, Tivoli South Bay, Norrie Point, Saw Kill, Stony Creek",1995-present,,https://cdmo.baruch.sc.edu/dges/,"Sarah Fernald, NYSDEC               845-889-4745 x111
sarah.fernald@dec.ny.gov"
HRECOS,"HRNERR, NYSDEC",System-Wide Monitoring Program (SWMP) Meteorological Data (HRECOS),Climate Change,,"Air Temperature, Barometric Pressure, Photosynthetically Active Radiation, Precipitation, Relative Humidity, Wind Direction, Wind Gust, Wind Speed",Weather,,"Bard College Field Station, Norrie Point",2002-present,continuous 15 min data,http://cdmo.baruch.sc.edu/aqs/zips.cfm,"Sarah Fernald, NYSDEC               845-889-4745 x111
sarah.fernald@dec.ny.gov"
HRECOS,"HRNERR, NYSDEC",System-Wide Monitoring Program (SWMP) Water Quality Data,Water Quality,"Dissolved Oxygen, In Situ Parameters","Water Temperature, Specific Conductivity, Salinity, Dissolved Oxygen, Depth, pH, Turbidity",Tidal Wetlands,,"Tivoli North Bay, Tivoli South Bay, Norrie Point, Bear Mountain, Ferry Landing",2002-present,continuous 15 min data,http://cdmo.baruch.sc.edu/aqs/zips.cfm,"Sarah Fernald, NYSDEC               845-889-4745 x111
sarah.fernald@dec.ny.gov"
HRNERRben,"HRNERR, NYSDEC",Hudson River Estuary Benthic Maps,Habitat and Ecological Health,Marine,Benthic Index of Biotic Integrity,Map benthic habitats in the Hudson River Estuary,,Hudson Troy-Hastings,"1998-2004, 2022",n/a,https://gis.ny.gov/gisdata/inventories/details.cfm?DSID=1136,"Sarah Fernald, NYSDEC               845-889-4745 x111
sarah.fernald@dec.ny.gov"
HRNERRsav,"HRNERR, NYSDEC",Hudson River Estuary Documented Submerged Aquatic Vegetation,Habitat and Ecological Health,Shorelines and Shallows,"Submerged Aquatic Vegetation, Floating Vegetation (Trapa natans)",Map SAV in the Hudson River Estuary,,Hudson Troy-Hastings,"1997, 2002, 2007, 2014, 2016, 2018",n/a,http://gis.ny.gov/gisdata/inventories/details.cfm?DSID=1350,"Sarah Fernald, NYSDEC               845-889-4745 x111
sarah.fernald@dec.ny.gov"
HRNERRtid,"HRNERR, NYSDEC",Hudson River Estuary Tidal Wetlands 2007 ,Habitat and Ecological Health,Wetlands,Area of Wetlands,Map tidal wetlands in Hudson River Estuary,,Hudson Troy-Hastings,"2007, 2018",n/a,"http://gis.ny.gov/gisdata/inventories/details.cfm?DSID=1210, http://gis.ny.gov/gisdata/inventories/details.cfm?DSID=1250","Sarah Fernald, NYSDEC               845-889-4745 x111
sarah.fernald@dec.ny.gov"
HRNERRsavv,"HRNERR, NYSDEC, Cary Institute",SAV Volunteer Monitoring Program (HRNERRsavv),Habitat and Ecological Health,Shorelines and Shallows,Submerged Aquatic Vegetation,Assess SAV dynamics between mapping inventories.,,Hudson Troy-Hastings,2003-present,annually,,"Sarah Fernald, NYSDEC               845-889-4745 x111
sarah.fernald@dec.ny.gov"
HEPcarp,Hudson River Foundation,Contamination Assessment and Reduction Program (CARP),Port and Maritime,Toxics,"PCBs, PAHs, Dioxins, Metals (dissolved cadmium Cd, lead Pb, mercury Hg), Pesticides (DDT, Aldrin, Dieldrin)","To identify and quantify sources of contaminants of concern to the NY/NJ Harbor Estuary from dredged material; establish baseline levels of contaminants of concern in water, sediments, and fish tissue; and predict future conditions.",QAPP,"Hudson River (below Troy, NY), Passaic River, Hackensack River, Newark Bay, Upper NY Bay, East River, Kill van Kull, Arthur Kill, Lower Bay, Jamaica Bay, and NY Bight",1999-2006,,,"Jim Lodge, (212) 483-7667, jim@hudsonriver.org"
HEPcac,"Hudson River Foundation, New York-New Jersey Harbor & Estuary Program",Citizen Advisory Committee Civic Science Survey,Community Engagement,Civic Engagement,"Participation in Civic Science, Participation in Stewardship Organizations",Understanding the breath and depth of civic science in the Hudson-Raritan Estuary,No,Harbor Estuary,Varies,1 time,,"Elizabeth Balladares, (212) 483-7667, eballadares@hudsonriver.org"
Fsstew,"Hudson River Foundation, New York-New Jersey Harbor & Estuary Program, USDA Forest Service",Connecting with Our Waterways: Public Access and its Stewardship in the New York-New Jersey Harbor Estuary,"Public Access and Stewardship, Community Engagement",Public Access,"Publicly accessible waterfront, Publicly accessible waterfront in acres in higher need communities, Capacity of stewardship organizations","To characterize public access and its distribution around the Harbor Estuary, the relationship of these parks and public spaces to socioeconomic need, and where and how civic organizations are providing stewardship and programing at the water front.",No,Harbor Estuary,"2016-present, varies",1 time,NYC Region - https://www.arcgis.com/home/item.html?id=e1a80a64d32a400bb03e772631d313dc,"Elizabeth Balladares, eballadares@hudsonriver.org; Michelle Johnson, michelle.l.johnson@usda.gov
"
HRPfest,Hudson River Park's River Project,SUBMERGE Marine Science Festival,"Public Access and Stewardship, Community Engagement","Stewardship and Use, Civic Engagement, Citizen Science","Participation in stewardship events, Participation in Citizen Science, Number of visitors to parks over time",This festival brings together numerous organizations from the surrounding watershed to educate and entertain thousands of park visitors about marine science. ,None,HRPK's Pier 84. Previously at Pier 26. ,2012-present,Once annual,will add to HRPK webpages,Carrie Roble (croble@hrpt.ny.gov)
HRPseag,Hudson River Park's River Project,SLP research -Seagull Boluses,Water Quality,"Floatable Debris, Containments of Emerging Concern",Plastic debris from seagull boluses,Dissected and analyzed the contents of seagull boluses collected over winter from the Park's floating docks. ,None,HRPK's Pier 40,2022,Collected between Jan-Feb 2022,will add to HRPK webpages,Carrie Roble (croble@hrpt.ny.gov) 
HRPtrash,Hudson River Park's River Project,Shoreline Cleanups/Marine Debris,"Water Quality, Community Engagement","Floatable Debris, Citizen Science","Debris collected on beaches, Participation in Citizen Science",To remove marine debris that washes up onto the shorelines the only soft shoreline in the park's 4 mile on the Gansevoort peninsula.,None,HRPK's Gansevoort Peninsula & Pier 76 shoreline,2015-present,"approx. Quarterly, year-round",https://hudsonriverpark.org/the-park/parks-river-project/science/current-research/marine-plastics/,Zoe Kim (zkim@hrpt.ny.gov)
HRPfish,Hudson River Park's River Project ,Fish Ecology Survey,Habitat and Ecological Health,Marine,Estuarine & Diadromous Fish Abundance,"To assess abundance and diversity of fishes in the Park's sanctuary using year-round, passive trapping, and additionally at regular catch and release fishing programs.",None,"Year-round trapping @ HRPK's Pier 25, & Pier 40; fishing programs at these sites and Pier 84 Spring-Fall",1988-present ,"Minimum weekly, year-round",https://hudsonriverpark.org/the-park/parks-river-project/science/current-research/fish-ecology-study/,Siddhartha Hayes (shayes@hrpt.ny.gov)
HRPoyst,Hudson River Park's River Project ,Pier 32 Oyster Wrap Monitoring,"Habitat and Ecological Health, Community Engagement","Marine, Citizen Science","Established Oyster Beds, Participation in Citizen Science",To determine whether the wooden pile field at Pier 32 and other similar structures are viable habitats for oyster growth and oyster recruitment. ,None,HRPK's Pier 32 Pile Field,2017-present,Monthly during June-October,https://hudsonriverpark.org/the-park/parks-river-project/science/current-research/oysters/,Carrie Roble (croble@hrpt.ny.gov)
HRPoystes,"Hudson River Park's River Project, AKRF Inc., Moffat & Nichol",Tribeca Habitat Enhancement Monitoring  - Enhancement Structure Performance,Habitat and Ecological Health,Marine,"Structure Degradation, Integrity, Drift, Sedimentation Rates","To assess integrity and sedimentation rates, as well as hydroacoustic/hydrographic surveys to determine structure drift between Pier 26 and 34.",In Development by consultants,HRPK's Tribeca Habitat Enhancement Area (Pier 26-Pier 34),2021-Present,"Hydrographic - Year 1 (2022), Hydroacoustic Years 3  5 (2024 & 2026), Sedimentation 5 years",will add to HRPK webpages ; AKRF will create report,Carrie Roble (croble@hrpt.ny.gov)
HRPoystm,"Hudson River Park's River Project, AKRF Inc., Rutgers University",Tribeca Habitat Enhancement Monitoring  - Mobile Communities,Habitat and Ecological Health,Marine,Benthic Index of Biotic Integrity,To determine the effect of structures between Pier 26 and 34 on nekton communities 5 trap lines of 8 traps each are deployed July-September and checked weekly for fishes and large crustaceans. ,In Development by consultants,HRPK's Tribeca Habitat Enhancement Area (Pier 26-Pier 34),2021-Present,Weekly July-September for 5 years,will add to HRPK webpages ; AKRF will create report,Carrie Roble (croble@hrpt.ny.gov)
HRPcwqtp,"Hudson River Park's River Project, Billion Oyster Project",Community Water Quality Monitoring Program (CWQTP),Water Quality,Pathogens,Enterococcus,"To alert the presence of fecal contaminants that limit the number of days for swimming, as well as correlating contamination to CSO events. ",None,"HRPK's Piers 26, 40, 66, 84, 96, Riverside Park, Hoboken, etc.",2011-present,Weekly May-Sept,BOP curates whole program data; Park-specific reports on website: https://hudsonriverpark.org/the-park/parks-river-project/science/current-research/enterococcus-monitoring/,Siddhartha Hayes (shayes@hrpt.ny.gov)
HRPeDNA,"Hudson River Park's River Project, Cold Spring Harbor Lab (CSHL)",eDNA,Habitat and Ecological Health,Marine,eDNA,Tracks presence of river wildlife by analyzing water samples for DNA of vertebrates via metabarcoding.,In Development w/ CSHL ,HRPK's Pier 25 and Pier 84,2018-2021,Twice a month year round,https://dnabarcoding101.org/hudson-river-park/,Carrie Roble (croble@hrpt.ny.gov)
HRPoystre,"Hudson River Park's River Project, Cornell University, Billion Oyster Project, The Nature Conservancy",Oyster Recruitment,Habitat and Ecological Health,Marine,"Established Oyster Beds, Spat abundance, Spat Size",To observe spat settlement distribution through the deployment of shell bags at various locations. Samples may be taken for genetic analysis to determine broodstock origin.,TBD,"HRPK's Pier 26, Pier 40 40, Little Island, Chelsea Piers, Pier 84, Pier 96",2018-Present ,"Monthly collection /deployment for 2-3 months in summer at 26 & 40, annual count of bags around Pier 57 and Intrepid baffles",will add to HRPK webpages ; Hare will create report,Siddhartha Hayes (shayes@hrpt.ny.gov)
HRPmuss,"Hudson River Park's River Project, CUNY",Presence of Common CSO Heavy Metals on the Composition of Blue Mussel Shell,Port and Maritime,Toxics,"Metals in sediments (Hg, Cr, Cd, Pb)",To collect and analyze sediment grabs at 25m increments down Pier 40 and Pier 34 for heavy metal composition.,Used City College and LDOE's ,HRPK's Pier 34 and Pier 40 ,Summer 2018-2019,July and August 2018/2019 ,will add to HRPK webpages,Carrie Roble (croble@hrpt.ny.gov) 
HRPmicro,"Hudson River Park's River Project, CUNY Brooklyn College ",Microplastics Surface Trawl,Water Quality,"Dissolved Oxygen, In Situ Parameters, Contaminants of Emerging Concern","Microplastics, Conductivity, Water Temperature, Dissolved Oxygen","To count and categorize microplastics from multiple locations to find what kinds of plastics are in the river, whether the quantity of plastics is changing over time, and whether there is any correlation between CSO/rain events and microplastic concentration. ",Follow NOAA QAPP,"Four total sites: Nearshore and channel site in downtown location (approx. P40 to Battery), nearshore and channel location in midtown approximately (Pier 76 to Pier 59) ",2016-2019,Monthly during June-October,https://hudsonriverpark.org/the-park/parks-river-project/science/current-research/microplastics/,"Carrie Roble (croble@hrpt.ny.gov), Brett Branco (bbranco@brooklyn.cuny.edu)"
HRPpath,"Hudson River Park's River Project, EPA, IEC",Pathogen Sampling,Water Quality,Pathogens,Enterococcus,This high density collection of water samples at both near shore and channel locations along the entire water column using both IDEXX and membrane filtration. ,Yes @ IEC ,12 total collection sites between HRPK's Pier 40 and the Battery. ,2018,August 20th 2018 and October 9th 2018 ,will add to HRPK webpages,Carrie Roble (croble@hrpt.ny.gov)
HRPoysth,"Hudson River Park's River Project, Hudson River Foundation, AKRF Inc., Billion Oyster Project, Stony Brook",Tribeca Habitat Enhancement Monitoring  - Oyster Heath & Performance,Habitat and Ecological Health,Marine,"Established Oyster Bed, Oyster Length, Recruitment, Gonad & Tissue Condition","Oyster growth, mortality, gonad & tissue condition will be assessed on 1/10 structures over 5 years to determine efficacy of various structures between Pier 26 and 34. ",In Development by consultants,HRPK's Tribeca Habitat Enhancement Area (Pier 26-Pier 34),2021-present,"Biannually June & September for 5 years, Gonad & Tissue condition starting year 3 (2024)",will add to HRPK webpages ; AKRF will create report,Carrie Roble (croble@hrpt.ny.gov)
HRPoystb,"Hudson River Park's River Project, Hudson River Foundation, AKRF Inc., NJCU",Tribeca Habitat Enhancement Monitoring  - Benthic & Epibenthic Communities,Habitat and Ecological Health,Marine,Benthic Index of Biotic Integrity,"Benthic species, epibenthic species, sediment type will be analyzed at 120 points in the enhancement area to determine effect of structures on richness and abundance between Pier 26 and 34.",In Development by consultants,HRPK's Tribeca Habitat Enhancement Area (Pier 26-Pier 34),2021-present,"Annually in August, years 3 & 5 (2024 & 2026)",will add to HRPK webpages ; AKRF will create report,Carrie Roble (croble@hrpt.ny.gov)
HRPpathIEC,"Hudson River Park's River Project, IEC",Pathogen Sampling,Water Quality, Pathogens,Enterococcus,Additional samples taken during regular CWQT sampling are sent to IEC for membrane filtration in order to assess comparability with IDEXX protocols.,Yes @ IEC ,HRPK's Pier 40 & Pier 26,2022,Weekly May-Sept,TBD,Siddhartha Hayes (shayes@hrpt.ny.gov)
HPReDNAp,"Hudson River Park's River Project, NYSDEC, CURB, LDEO",Lower Hudson River Estuary eDNA Partnership,Habitat and Ecological Health,Marine,eDNA,This project tracks presence and migration of river wildlife by analyzing water samples for DNA of vertebrates using gel electrophoresis.,In Development ,"HRPK's Pier 40, Piermont, Yonkers, Norrie Point",2021-present,once a month May-Sept,will add to HRPK webpages winter 2022,Siddhartha Hayes (shayes@hrpt.ny.gov)
IECcivic,IEC,Coordinated Volunteer Pathogen Monitoring Program,Water Quality,"Dissolved Oxygen, Pathogens, In Situ Parameters","Fecal Coliform, Enterococcus, Dissolved Oxygen, Water Temperature, pH, Salinity",Near-shore pathogen monitoring in under-monitored areas.,Y 2017,"10 sites in 2017; Staten Island, Liberty State Park",2017-present,5x per month,http://www.epa.gov/storet/,Jessica Bonamusa jbonamusa@iec-nynjct.org
IECpassaic,IEC,Passaic & Second River,Water Quality,"Pathogens, In Situ Parameters","Fecal Coliform, Enterococcus, E. Coli, MST (HFM183, HumM2), Turbidity",Pathogen track down,Y 2017,Up to 39 stations; Passaic and Second River,August-October 2016,"5X per month, August-October 2016. Targeted sampling in 2017",http://www.epa.gov/storet/,Evelyn Powers epowers@iec-nynjct.org
